username,IP_address,home_office,API_version,redacted_password,contact_address
per_ciljan_skjelbred,134.52.41.30/22,true,v1,^******************I,per_ciljan_skjelbred@baretoev.trd
sverre_nypan,33.49.228.181/28,false,v4,|*********************',sverre_nypan@baretoev.trd
are_og_odin,90.121.249.196/30,false,v4,z*********************E,are_og_odin@baretoev.trd
tore_paa_sporet,177.253.192.141/24,false,v2,R*************r,tore_paa_sporet@baretoev.trd
aage_aleksandersen,140.89.104.231/16,false,v1,f****************j,aage_aleksandersen@baretoev.trd
gynter_nisse,19.241.32.35/16,false,v3,}****************',gynter_nisse@baretoev.trd
tore_paa_sporet,184.139.58.143/28,false,v3,v********************S,tore_paa_sporet@baretoev.trd
vegard_heggem,190.155.203.32/27,true,v1,R**************V,vegard_heggem@baretoev.trd
hansi_nisse,189.127.71.116/31,true,v4,$************************S,hansi_nisse@baretoev.trd
dag_ingebrigtsen,142.155.129.87/16,false,v3,N***************|,dag_ingebrigtsen@baretoev.trd
hans_rotmo,56.61.39.244/30,true,v4,P************@,hans_rotmo@baretoev.trd
fritz_nisse,217.107.253.159/16,true,v3,@************g,fritz_nisse@baretoev.trd
goeran_soerloth,68.95.179.246/25,false,v2,Y************e,goeran_soerloth@baretoev.trd
fritz_nisse,188.117.29.254/21,true,v3,T*********************!,fritz_nisse@baretoev.trd
dag_ingebrigtsen,156.148.175.162/28,false,v1,T************************9,dag_ingebrigtsen@baretoev.trd
knudsen_og_ludvigsen,3.32.131.111/24,false,v3,P*********************<,knudsen_og_ludvigsen@baretoev.trd
alf_skille,142.95.240.187/21,false,v4,B***************6,alf_skille@baretoev.trd
roar_strand,180.150.27.144/16,true,v4,h****************4,roar_strand@baretoev.trd
harald_martin_brattbakk,143.113.176.27/22,false,v4,9******************e,harald_martin_brattbakk@baretoev.trd
erlend_loe,70.158.111.165/20,false,v4,4****************p,erlend_loe@baretoev.trd
sverre_nypan,49.41.113.72/19,true,v2,A************(,sverre_nypan@baretoev.trd
erlend_loe,161.206.72.23/19,true,v4,H***********************9,erlend_loe@baretoev.trd
marit_bjoergen,44.75.162.158/32,false,v1,|**************b,marit_bjoergen@baretoev.trd
arve_tellefsen,99.227.63.9/27,true,v2,6***********************.,arve_tellefsen@baretoev.trd
harald_martin_brattbakk,81.54.180.9/21,true,v1,$****************I,harald_martin_brattbakk@baretoev.trd
marit_bjoergen,44.227.121.69/29,true,v2,s************************x,marit_bjoergen@baretoev.trd
hans_rotmo,27.220.4.250/17,true,v4,#*************M,hans_rotmo@baretoev.trd
kvikk_sand,51.85.25.246/30,true,v2,i*****************[,kvikk_sand@baretoev.trd
vegard_heggem,87.139.14.2/16,false,v3,<**********************V,vegard_heggem@baretoev.trd
gynter_nisse,212.53.121.90/27,false,v1,L**************K,gynter_nisse@baretoev.trd
dag_ingebrigtsen,136.26.1.70/18,true,v2,#***************A,dag_ingebrigtsen@baretoev.trd
petter_wavold,135.159.142.81/23,false,v2,$*****************`,petter_wavold@baretoev.trd
olaf_sand,50.51.106.254/19,false,v2,I*************[,olaf_sand@baretoev.trd
rita_ottervik,127.30.65.16/23,true,v2,S***************E,rita_ottervik@baretoev.trd
vidar_riseth,18.230.113.252/16,true,v4,$*********************H,vidar_riseth@baretoev.trd
sverre_nypan,49.6.185.250/21,true,v4,d**********************G,sverre_nypan@baretoev.trd
anne_b_ragde,31.231.16.24/25,false,v2,n************************J,anne_b_ragde@baretoev.trd
hansi_nisse,255.196.227.98/25,false,v3,@*******************t,hansi_nisse@baretoev.trd
gynter_nisse,230.110.39.114/26,false,v4,v*********************6,gynter_nisse@baretoev.trd
gjertrud_sand,131.55.125.55/17,true,v4,%*************9,gjertrud_sand@baretoev.trd
tande_p,24.212.212.151/31,false,v3,`******************$,tande_p@baretoev.trd
goeran_soerloth,115.183.113.8/27,true,v1,h*******************?,goeran_soerloth@baretoev.trd
oevre_richter_frich,16.63.241.149/28,true,v4,g*********************),oevre_richter_frich@baretoev.trd
rita_ottervik,242.107.115.2/18,false,v3,r***************M,rita_ottervik@baretoev.trd
anne_b_ragde,205.210.60.235/19,true,v3,O************Z,anne_b_ragde@baretoev.trd
roar_strand,208.57.213.233/16,true,v2,F*************%,roar_strand@baretoev.trd
aage_aleksandersen,206.24.97.5/25,false,v4,R*****************-,aage_aleksandersen@baretoev.trd
tore_paa_sporet,91.175.37.112/19,false,v2,c********************7,tore_paa_sporet@baretoev.trd
harald_martin_brattbakk,1.228.117.142/18,true,v3,7*********************(,harald_martin_brattbakk@baretoev.trd
anders_jektvik,234.130.53.123/21,true,v2,3**********************n,anders_jektvik@baretoev.trd
terje_tysland,220.219.157.156/23,false,v2,”*************`,terje_tysland@baretoev.trd
sverre_brandhaug,207.97.227.11/24,true,v4,p**************f,sverre_brandhaug@baretoev.trd
liv_ullmann,31.120.151.2/23,false,v2,l***************#,liv_ullmann@baretoev.trd
torstein_flakne,90.25.93.29/26,true,v3,v**********************{,torstein_flakne@baretoev.trd
bjorn_tore_kvarme,207.61.120.217/27,false,v4,H**************T,bjorn_tore_kvarme@baretoev.trd
anne_b_ragde,226.183.7.75/17,false,v1,G******************',anne_b_ragde@baretoev.trd
roar_strand,186.213.226.224/32,true,v4,J*************%,roar_strand@baretoev.trd
goeran_soerloth,60.53.132.220/17,true,v1,:********************~,goeran_soerloth@baretoev.trd
tande_p,100.3.176.13/23,false,v2,k***************q,tande_p@baretoev.trd
ola_by_riise,36.67.76.76/32,true,v1,i*****************I,ola_by_riise@baretoev.trd
per_ciljan_skjelbred,123.84.47.139/29,true,v3,/**************S,per_ciljan_skjelbred@baretoev.trd
rita_ottervik,196.192.14.76/21,true,v2,S********************~,rita_ottervik@baretoev.trd
tore_paa_sporet,190.249.32.75/19,true,v1,]**************0,tore_paa_sporet@baretoev.trd
harald_martin_brattbakk,126.40.42.210/16,false,v2,e*************_,harald_martin_brattbakk@baretoev.trd
birgit_skarstein,45.40.112.87/22,false,v4,3*************c,birgit_skarstein@baretoev.trd
aage_aleksandersen,160.166.135.216/17,true,v2,>*********************u,aage_aleksandersen@baretoev.trd
sverre_brandhaug,236.193.25.234/24,true,v3,`************************e,sverre_brandhaug@baretoev.trd
vidar_riseth,254.117.17.16/27,false,v1,X*********************),vidar_riseth@baretoev.trd
vegard_heggem,197.31.232.3/16,false,v2,7*********************6,vegard_heggem@baretoev.trd
petter_wavold,103.50.184.6/21,false,v2,4************+,petter_wavold@baretoev.trd
bjarne_brondbo,180.80.153.97/28,false,v1,8****************t,bjarne_brondbo@baretoev.trd
bjarne_brondbo,157.173.94.68/29,false,v2,s************1,bjarne_brondbo@baretoev.trd
anders_jektvik,69.236.223.135/24,true,v1,0******************2,anders_jektvik@baretoev.trd
anders_jektvik,250.213.15.220/20,false,v1,R**********************N,anders_jektvik@baretoev.trd
benny_naassaa,188.112.66.131/30,false,v3,3********************v,benny_naassaa@baretoev.trd
vegard_heggem,26.215.35.43/24,false,v1,+****************j,vegard_heggem@baretoev.trd
kvikk_sand,241.163.87.3/30,true,v4,Q*************U,kvikk_sand@baretoev.trd
liv_ullmann,145.202.142.23/32,false,v4,5**********************j,liv_ullmann@baretoev.trd
tore_paa_sporet,195.192.17.137/18,false,v1,o*********************h,tore_paa_sporet@baretoev.trd
gjertrud_sand,56.68.62.91/28,false,v2,E***********************:,gjertrud_sand@baretoev.trd
sverre_nypan,74.79.151.137/19,false,v1,G************~,sverre_nypan@baretoev.trd
benny_naassaa,248.197.61.213/22,true,v2,A******************_,benny_naassaa@baretoev.trd
vegard_heggem,24.107.6.140/17,true,v1,A**************o,vegard_heggem@baretoev.trd
are_og_odin,188.81.82.244/29,false,v2,6**************E,are_og_odin@baretoev.trd
ola_by_riise,151.109.250.233/27,true,v1,'**************3,ola_by_riise@baretoev.trd
roar_strand,75.197.48.69/30,false,v2,0***********************?,roar_strand@baretoev.trd
aage_aleksandersen,25.78.196.109/17,true,v2,g*****************<,aage_aleksandersen@baretoev.trd
ola_by_riise,255.134.225.90/19,false,v3,9***************r,ola_by_riise@baretoev.trd
liv_ullmann,140.203.12.249/29,true,v3,s***********************o,liv_ullmann@baretoev.trd
liv_ullmann,107.35.156.102/32,true,v1,K****************6,liv_ullmann@baretoev.trd
dag_ingebrigtsen,56.45.243.160/20,true,v3,)****************!,dag_ingebrigtsen@baretoev.trd
ola_by_riise,98.239.25.222/25,true,v1,>*************B,ola_by_riise@baretoev.trd
vegard_heggem,124.210.203.157/27,true,v4,U****************z,vegard_heggem@baretoev.trd
per_ciljan_skjelbred,242.204.58.227/28,false,v4,$**************|,per_ciljan_skjelbred@baretoev.trd
marit_breivik,4.25.185.159/19,false,v2,&**********************8,marit_breivik@baretoev.trd
marvin_wiseth,194.77.203.138/24,true,v2,K**********************c,marvin_wiseth@baretoev.trd
goeran_soerloth,253.203.77.114/26,false,v3,(*********************!,goeran_soerloth@baretoev.trd
tande_p,119.35.28.54/23,false,v1,y********************',tande_p@baretoev.trd
knudsen_og_ludvigsen,220.162.38.62/28,true,v2,'************P,knudsen_og_ludvigsen@baretoev.trd
rita_ottervik,14.181.77.129/20,false,v2,E*************h,rita_ottervik@baretoev.trd
hans_rotmo,205.132.32.90/17,false,v3,W****************F,hans_rotmo@baretoev.trd
liv_ullmann,93.135.80.110/21,false,v4,V*************',liv_ullmann@baretoev.trd
petter_wavold,72.59.232.55/19,true,v2,5**********************2,petter_wavold@baretoev.trd
sverre_nypan,152.135.11.232/27,false,v4,6*********************t,sverre_nypan@baretoev.trd
torstein_flakne,147.239.65.103/24,false,v1,v****************(,torstein_flakne@baretoev.trd
erlend_loe,69.109.154.11/20,true,v4,E***************+,erlend_loe@baretoev.trd
rita_ottervik,223.60.128.227/25,true,v1,y**************),rita_ottervik@baretoev.trd
vegard_heggem,62.221.151.170/21,false,v3,O*******************a,vegard_heggem@baretoev.trd
bjarne_brondbo,41.217.127.155/21,false,v2,8*****************(,bjarne_brondbo@baretoev.trd
are_og_odin,253.137.231.4/32,true,v1,E******************m,are_og_odin@baretoev.trd
petter_wavold,26.153.102.215/26,true,v3,g********************),petter_wavold@baretoev.trd
arve_tellefsen,126.2.43.98/19,false,v4,%***********************],arve_tellefsen@baretoev.trd
roar_strand,190.201.200.35/24,false,v3,W*************H,roar_strand@baretoev.trd
kvikk_sand,42.100.26.83/29,false,v2,|***********************k,kvikk_sand@baretoev.trd
oevre_richter_frich,164.250.84.218/24,false,v3,5***********************],oevre_richter_frich@baretoev.trd
torstein_flakne,146.224.141.23/26,true,v2,Q****************M,torstein_flakne@baretoev.trd
sverre_nypan,19.68.61.241/26,true,v1,0***********************>,sverre_nypan@baretoev.trd
petter_wavold,74.53.224.251/31,true,v3,c*******************4,petter_wavold@baretoev.trd
sverre_brandhaug,172.226.131.103/32,true,v3,5**********************%,sverre_brandhaug@baretoev.trd
hansi_nisse,123.88.152.92/29,true,v3,8**********************y,hansi_nisse@baretoev.trd
roar_strand,214.72.188.203/20,false,v4,9**************=,roar_strand@baretoev.trd
tore_paa_sporet,6.66.20.211/21,true,v2,s*************],tore_paa_sporet@baretoev.trd
oevre_richter_frich,159.79.59.52/19,true,v4,I*********************`,oevre_richter_frich@baretoev.trd
sverre_brandhaug,119.34.96.57/29,false,v4,$***************3,sverre_brandhaug@baretoev.trd
fritz_nisse,87.38.83.247/32,false,v4,2***************!,fritz_nisse@baretoev.trd
staale_stensaas,139.241.121.109/17,true,v1,^************d,staale_stensaas@baretoev.trd
bjarne_brondbo,176.51.210.87/29,false,v3,'****************),bjarne_brondbo@baretoev.trd
rune_bratseth,187.181.116.222/25,true,v4,E******************2,rune_bratseth@baretoev.trd
astrid_s,126.89.211.158/21,false,v3,!**************a,astrid_s@baretoev.trd
liv_ullmann,122.170.249.117/25,false,v2,z************************+,liv_ullmann@baretoev.trd
goeran_soerloth,148.23.33.251/17,false,v3,/*************d,goeran_soerloth@baretoev.trd
harald_martin_brattbakk,2.71.203.224/21,true,v3,)*******************F,harald_martin_brattbakk@baretoev.trd
erik_hoftun,222.200.152.199/24,false,v4,?********************x,erik_hoftun@baretoev.trd
erik_hoftun,223.190.39.28/29,true,v3,[************e,erik_hoftun@baretoev.trd
staale_stensaas,95.181.102.120/30,true,v3,Y***************w,staale_stensaas@baretoev.trd
marit_breivik,5.8.158.56/26,true,v2,5*********************&,marit_breivik@baretoev.trd
marit_bjoergen,194.23.184.130/27,false,v3,N******************O,marit_bjoergen@baretoev.trd
olaf_sand,143.130.13.18/25,false,v3,Y***************T,olaf_sand@baretoev.trd
staale_stensaas,129.180.226.66/22,false,v3,”*****************y,staale_stensaas@baretoev.trd
harald_martin_brattbakk,236.24.29.143/26,false,v3,x*****************w,harald_martin_brattbakk@baretoev.trd
hansi_nisse,64.138.108.211/30,false,v3,G*************^,hansi_nisse@baretoev.trd
oevre_richter_frich,156.203.115.69/31,false,v1,c*********************P,oevre_richter_frich@baretoev.trd
marvin_wiseth,217.141.160.199/20,false,v2,Z**********************[,marvin_wiseth@baretoev.trd
anders_jektvik,158.119.164.85/29,false,v2,E*******************q,anders_jektvik@baretoev.trd
fritz_nisse,70.70.77.231/26,false,v1,F***************W,fritz_nisse@baretoev.trd
rita_ottervik,19.18.213.43/27,true,v4,l*******************k,rita_ottervik@baretoev.trd
sverre_brandhaug,236.29.79.200/17,true,v2,'******************%,sverre_brandhaug@baretoev.trd
vegard_heggem,105.174.153.53/29,true,v1,.**************e,vegard_heggem@baretoev.trd
good_old_gammel_nok,174.6.239.196/18,true,v1,c*********************l,good_old_gammel_nok@baretoev.trd
arve_tellefsen,38.213.113.51/18,false,v3,+********************|,arve_tellefsen@baretoev.trd
ola_by_riise,140.222.27.218/23,true,v4,E************************_,ola_by_riise@baretoev.trd
per_ciljan_skjelbred,74.86.43.243/21,false,v2,n********************{,per_ciljan_skjelbred@baretoev.trd
goeran_soerloth,164.202.206.44/20,true,v3,)************************B,goeran_soerloth@baretoev.trd
erik_hoftun,70.30.104.235/24,false,v2,>************C,erik_hoftun@baretoev.trd
olaf_sand,122.118.229.148/21,false,v3,C********************U,olaf_sand@baretoev.trd
olaf_sand,59.214.231.122/25,true,v2,4********************$,olaf_sand@baretoev.trd
anders_jektvik,73.249.222.103/27,false,v4,w******************V,anders_jektvik@baretoev.trd
astrid_s,172.64.31.251/20,false,v4,N**********************q,astrid_s@baretoev.trd
kvikk_sand,192.12.185.106/24,true,v2,`***************S,kvikk_sand@baretoev.trd
staale_stensaas,64.109.151.87/26,false,v2,r***********************P,staale_stensaas@baretoev.trd
erlend_loe,210.178.218.175/28,true,v1,e***************y,erlend_loe@baretoev.trd
astrid_s,153.129.188.210/19,true,v3,(*******************T,astrid_s@baretoev.trd
marit_breivik,174.20.200.98/20,true,v3,Y**************f,marit_breivik@baretoev.trd
marvin_wiseth,194.153.136.97/18,true,v3,n**********************L,marvin_wiseth@baretoev.trd
marit_breivik,175.253.221.158/28,false,v4,7***********************K,marit_breivik@baretoev.trd
knudsen_og_ludvigsen,43.190.24.36/26,true,v2,J***********************R,knudsen_og_ludvigsen@baretoev.trd
olaf_sand,117.170.180.65/19,true,v2,Z*********************.,olaf_sand@baretoev.trd
terje_tysland,177.46.27.134/19,false,v3,e************************P,terje_tysland@baretoev.trd
sverre_nypan,191.28.167.245/31,true,v3,P*************`,sverre_nypan@baretoev.trd
staale_stensaas,213.208.231.79/23,true,v1,]***************j,staale_stensaas@baretoev.trd
knudsen_og_ludvigsen,218.48.53.188/23,true,v1,{*************s,knudsen_og_ludvigsen@baretoev.trd
sverre_brandhaug,98.91.44.88/27,false,v1,U********************=,sverre_brandhaug@baretoev.trd
tande_p,78.152.255.33/21,true,v2,Y************m,tande_p@baretoev.trd
per_ciljan_skjelbred,147.137.238.150/22,true,v1,I*********************.,per_ciljan_skjelbred@baretoev.trd
hans_rotmo,230.235.109.140/32,true,v2,=*******************n,hans_rotmo@baretoev.trd
erik_hoftun,200.215.185.97/28,true,v4,-****************3,erik_hoftun@baretoev.trd
arve_tellefsen,150.123.171.51/28,false,v4,j************************F,arve_tellefsen@baretoev.trd
bjorn_tore_kvarme,108.61.192.127/19,true,v3,'************************[,bjorn_tore_kvarme@baretoev.trd
good_old_gammel_nok,83.255.199.198/24,true,v3,k**********************.,good_old_gammel_nok@baretoev.trd
rita_ottervik,102.227.6.143/21,false,v2,g*******************V,rita_ottervik@baretoev.trd
benny_naassaa,107.222.149.128/28,false,v2,1**********************n,benny_naassaa@baretoev.trd
tande_p,129.137.253.147/30,false,v2,c******************v,tande_p@baretoev.trd
vidar_riseth,227.245.9.17/28,false,v1,C****************N,vidar_riseth@baretoev.trd
alf_skille,229.212.63.239/29,false,v4,j***************K,alf_skille@baretoev.trd
oevre_richter_frich,176.13.128.11/17,false,v3,J****************T,oevre_richter_frich@baretoev.trd
are_og_odin,116.118.169.221/32,false,v3,U********************c,are_og_odin@baretoev.trd
kvikk_sand,67.87.24.248/17,true,v4,1************************b,kvikk_sand@baretoev.trd
vidar_riseth,64.135.135.12/23,false,v4,$****************},vidar_riseth@baretoev.trd
good_old_gammel_nok,23.114.68.21/23,false,v1,[*****************R,good_old_gammel_nok@baretoev.trd
aage_aleksandersen,139.242.61.181/25,true,v2,z***********************/,aage_aleksandersen@baretoev.trd
bjorn_tore_kvarme,26.85.104.68/30,false,v2,C******************b,bjorn_tore_kvarme@baretoev.trd
bjorn_tore_kvarme,116.91.30.38/18,true,v3,H************U,bjorn_tore_kvarme@baretoev.trd
staale_stensaas,178.80.7.110/18,false,v2,h*********************C,staale_stensaas@baretoev.trd
hansi_nisse,143.249.123.170/32,false,v3,|******************!,hansi_nisse@baretoev.trd
per_ciljan_skjelbred,221.78.74.164/20,false,v2,&**************c,per_ciljan_skjelbred@baretoev.trd
alf_skille,23.254.237.72/17,false,v4,@********************+,alf_skille@baretoev.trd
bjorn_tore_kvarme,195.254.235.164/26,true,v2,6***************9,bjorn_tore_kvarme@baretoev.trd
anders_jektvik,84.242.7.230/16,true,v1,Q************************T,anders_jektvik@baretoev.trd
oevre_richter_frich,77.98.39.182/24,true,v2,*******************~,oevre_richter_frich@baretoev.trd
bjorn_tore_kvarme,204.247.238.142/27,false,v3,Y*****************X,bjorn_tore_kvarme@baretoev.trd
anders_jektvik,16.163.85.233/31,true,v2,&*******************C,anders_jektvik@baretoev.trd
anne_b_ragde,72.59.11.214/21,false,v3,W*******************”,anne_b_ragde@baretoev.trd
hansi_nisse,51.61.28.234/22,false,v2,M**********************7,hansi_nisse@baretoev.trd
rune_bratseth,218.153.194.174/30,false,v4,>***************-,rune_bratseth@baretoev.trd
benny_naassaa,114.206.155.215/21,false,v3,~************************^,benny_naassaa@baretoev.trd
birgit_skarstein,24.122.200.163/22,false,v2,+************************”,birgit_skarstein@baretoev.trd
harald_martin_brattbakk,184.91.65.106/17,false,v1,p*****************a,harald_martin_brattbakk@baretoev.trd
ola_by_riise,222.226.248.209/27,true,v1,Q*************8,ola_by_riise@baretoev.trd
aage_aleksandersen,245.195.22.69/32,true,v3,~**********************!,aage_aleksandersen@baretoev.trd
hansi_nisse,42.151.1.158/28,false,v4,Y********************J,hansi_nisse@baretoev.trd
bjorn_tore_kvarme,128.44.74.139/18,false,v2,!*************f,bjorn_tore_kvarme@baretoev.trd
tande_p,107.83.22.144/17,true,v3,$************************D,tande_p@baretoev.trd
bjorn_tore_kvarme,68.63.223.56/32,true,v2,Z*********************h,bjorn_tore_kvarme@baretoev.trd
harald_martin_brattbakk,173.62.16.114/24,false,v2,F**************3,harald_martin_brattbakk@baretoev.trd
alf_skille,140.54.24.124/29,false,v3,g*************4,alf_skille@baretoev.trd
harald_martin_brattbakk,69.75.159.205/24,true,v1,2*************I,harald_martin_brattbakk@baretoev.trd
sverre_brandhaug,2.251.214.101/20,true,v2,%***************T,sverre_brandhaug@baretoev.trd
benny_naassaa,242.114.223.14/24,true,v3,g*********************X,benny_naassaa@baretoev.trd
kvikk_sand,80.48.244.159/19,false,v1,^*******************q,kvikk_sand@baretoev.trd
hansi_nisse,153.147.231.202/19,true,v3,D***********************0,hansi_nisse@baretoev.trd
hans_rotmo,20.109.112.0/27,true,v4,k************************(,hans_rotmo@baretoev.trd
oevre_richter_frich,87.237.177.94/22,true,v2,+**********************C,oevre_richter_frich@baretoev.trd
tore_paa_sporet,223.28.89.241/31,false,v2,4**************?,tore_paa_sporet@baretoev.trd
goeran_soerloth,82.79.77.202/18,false,v3,o**********************L,goeran_soerloth@baretoev.trd
trine_haltvik,34.115.11.221/27,true,v1,4*****************k,trine_haltvik@baretoev.trd
hansi_nisse,36.243.111.58/22,false,v4,a***********************@,hansi_nisse@baretoev.trd
terje_tysland,253.169.142.86/18,true,v2,C****************8,terje_tysland@baretoev.trd
harald_martin_brattbakk,165.193.134.110/26,false,v3,n*******************J,harald_martin_brattbakk@baretoev.trd
oevre_richter_frich,116.236.243.170/18,true,v2,U************F,oevre_richter_frich@baretoev.trd
gynter_nisse,75.47.213.180/27,true,v3,K******************j,gynter_nisse@baretoev.trd
astrid_s,19.13.147.198/31,true,v1,R***************O,astrid_s@baretoev.trd
gjertrud_sand,46.132.53.129/29,true,v4,Q***********************S,gjertrud_sand@baretoev.trd
marit_breivik,54.225.214.40/21,false,v3,D************+,marit_breivik@baretoev.trd
vegard_heggem,111.29.195.96/27,false,v2,t*******************x,vegard_heggem@baretoev.trd
harald_martin_brattbakk,142.249.70.184/32,true,v3,l***************M,harald_martin_brattbakk@baretoev.trd
kvikk_sand,215.143.193.237/27,false,v3,Z*********************b,kvikk_sand@baretoev.trd
oevre_richter_frich,38.37.128.53/22,true,v4,H****************x,oevre_richter_frich@baretoev.trd
terje_tysland,26.104.238.211/16,false,v3,f*****************',terje_tysland@baretoev.trd
tande_p,200.10.7.147/17,false,v4,C******************W,tande_p@baretoev.trd
birgit_skarstein,124.42.157.156/25,true,v4,(******************.,birgit_skarstein@baretoev.trd
rita_ottervik,64.194.110.107/28,false,v1,1******************w,rita_ottervik@baretoev.trd
kvikk_sand,202.219.28.61/22,false,v4,}*******************b,kvikk_sand@baretoev.trd
torstein_flakne,113.70.85.183/20,true,v3,v***********************u,torstein_flakne@baretoev.trd
tore_paa_sporet,54.118.109.129/32,false,v1,b********************O,tore_paa_sporet@baretoev.trd
bjorn_tore_kvarme,216.55.127.148/26,false,v4,y********************b,bjorn_tore_kvarme@baretoev.trd
arve_tellefsen,68.58.207.239/16,false,v2,=************Y,arve_tellefsen@baretoev.trd
ola_by_riise,208.172.62.197/21,false,v2,I***********************r,ola_by_riise@baretoev.trd
arve_tellefsen,107.222.0.67/16,false,v2,+************************Q,arve_tellefsen@baretoev.trd
alf_skille,75.200.76.42/29,true,v2,=*****************F,alf_skille@baretoev.trd
anne_b_ragde,14.80.91.152/29,false,v1,U*****************P,anne_b_ragde@baretoev.trd
rune_bratseth,167.122.100.217/24,false,v2,a***********************A,rune_bratseth@baretoev.trd
vidar_riseth,147.109.18.148/16,false,v2,p****************Z,vidar_riseth@baretoev.trd
kvikk_sand,236.103.89.130/20,true,v4,8************t,kvikk_sand@baretoev.trd
olaf_sand,100.127.202.32/30,false,v3,#************************%,olaf_sand@baretoev.trd
staale_stensaas,25.233.125.114/17,true,v1,M******************T,staale_stensaas@baretoev.trd
alf_skille,42.102.174.20/23,false,v2,J***********************Y,alf_skille@baretoev.trd
erlend_loe,131.151.11.183/17,false,v4,r****************:,erlend_loe@baretoev.trd
marit_breivik,171.33.215.56/26,true,v2,D*******************_,marit_breivik@baretoev.trd
terje_tysland,218.255.73.74/32,false,v4,%******************R,terje_tysland@baretoev.trd
benny_naassaa,71.101.162.86/16,true,v4,F*************9,benny_naassaa@baretoev.trd
arve_tellefsen,138.93.103.131/18,false,v4,V****************Q,arve_tellefsen@baretoev.trd
rune_bratseth,145.135.172.233/28,false,v3,~*********************3,rune_bratseth@baretoev.trd
fritz_nisse,121.159.58.53/31,false,v2,!**************U,fritz_nisse@baretoev.trd
anne_b_ragde,130.1.104.115/24,true,v3,G*****************@,anne_b_ragde@baretoev.trd
rita_ottervik,100.18.169.190/25,false,v1,O********************R,rita_ottervik@baretoev.trd
rune_bratseth,59.178.213.158/27,false,v1,T*********************#,rune_bratseth@baretoev.trd
oevre_richter_frich,182.211.123.72/19,true,v2,]**********************G,oevre_richter_frich@baretoev.trd
alf_skille,197.98.35.83/21,false,v1,/******************y,alf_skille@baretoev.trd
tore_paa_sporet,27.195.194.176/20,false,v2,6****************u,tore_paa_sporet@baretoev.trd
petter_wavold,196.23.104.232/18,false,v1,v**********************V,petter_wavold@baretoev.trd
sverre_brandhaug,176.173.106.247/23,true,v4,]*****************,sverre_brandhaug@baretoev.trd
rune_bratseth,160.138.87.100/21,true,v2,m*****************U,rune_bratseth@baretoev.trd
bjarne_brondbo,92.233.231.142/31,true,v1,B***************%,bjarne_brondbo@baretoev.trd
